id,twitter_id,handles,degree_range,snapshot_range
492,1161045320400343040,"KotsosGiorgos",165-560,"32-48"
493,1156609842888552448,"karamanlis_k",2333-5513,"32-48"
494,1293462895842545664,"teleftheriadou",2356-5891,"32-48"
495,1191680252201852931,"GMoulkiotis",252-621,"32-48"
496,770226983657701377,"OikonomouVasili",4687-5457,"32-48"
497,1248746286460919810,"FragidisGeorge",163-553,"32-48"
498,265981780,"joikonomou",1407-5585,"32-48"
499,1378452865321144329,"pestanea",25-623,"36-42"
500,22245001,"atolkas",1981-1987,"39-48"
501,41333290,"Skylakakis",9962-9962,"48-48"
