id,twitter_id,handles,degree_range,snapshot_range
111,712032858,"espressonews_gr",1856-2226,"1-48"
112,47575786,"OikonomouB",7492-8142,"1-48"
113,159195305,"gavgero",44282-59375,"1-48"
114,236744081,"NikosDendias",38771-138417,"1-48"
115,136333369,"stelioskoul, SteliosKoul",67407-78894,"1-48"
116,2888201051,"igglezikaterina",802-896,"1-48"
117,2192270316,"amanatidis_gian, Amanatidis_Gian",2653-3634,"1-48"
118,948002035,"dimvett",253-1081,"1-32"
119,30190242,"eglimatikotita",859-951,"1-48"
120,3070068752,"MarianaPirgioti",12316-22881,"1-48"
121,1851378294,"ethnosgr",15539-42852,"1-48"
122,562182659,"gkefalogiannis",3844-7659,"1-48"
123,417017633,"chrisvernard",4270-4511,"1-48"
124,199743355,"Real_gr",260405-318797,"1-48"
125,2814643357,"g_stathakis",21677-24768,"1-48"
126,2786227298,"olgagerovasili",8242-21642,"1-48"
127,493108153,"taniaiakovidou, TaniaIakovidou",135-146,"1-48"
128,526772421,"tasiachristodul",630-683,"1-48"
129,368220754,"dinopoul",8136-8451,"1-48"
130,385411771,"unfollow_mag",53283-55256,"1-48"
131,18899147,"madata",4100-4200,"1-48"
132,481393090,"FotiniPipili, fotinipipili",16840-20918,"1-48"
133,982264362,"chboukoros1",531-890,"1-48"
134,1522227540,"theocharop",331-678,"1-13"
135,631973249,"TheanoFotiou",7186-8498,"1-48"
136,107136186,"htheoharis",24119-26612,"1-48"
137,344678980,"themosanastasia",986-1117,"1-48"
138,146120800,"LamiaReportgr, lamiareportgr",1735-2135,"1-48"
139,540179903,"MakisVoridis",42808-70615,"1-48"
140,3290272726,"GiorgosTragkas, giorgostragkas",6360-7787,"1-48"
141,70713954,"Odysseas_",11050-14120,"1-48"
142,18834081,"tvxs",68312-94215,"1-48"
143,186060772,"Kathimerini_gr, kathimerini_gr",324502-456612,"1-48"
144,57285630,"kerdos_online",11816-12627,"1-48"
145,93519544,"KSIPNISTERE",1785-1931,"1-48"
146,3324399059,"efhmeridaEmpros",995-1614,"1-48"
147,592909785,"H_apopsi, H_Apopsi",1045-1122,"1-48"
148,133853744,"andritsos",41817-44819,"1-48"
149,583989540,"Art_teleasty",361-404,"1-48"
150,269667949,"Arvanitidis_Geo",1193-2320,"1-48"
151,585870163,"tppfeed",2788-3447,"1-48"
152,450338960,"EvangAntonaros, evangantonaros",16414-38122,"1-48"
153,299874207,"Ggennia",275-531,"1-48"
154,537269439,"GerGiakoumatos, gergiakoumatos",4141-5075,"1-48"
155,521225288,"TerensQuick, terensquick",30852-35087,"1-48"
156,2987143187,"k0stopanagiotou",309-486,"1-48"
157,2347247826,"GVallianatos",3095-3234,"1-48"
158,36618661,"ant1tv, ANT1TV",184519-232797,"1-48"
159,42008209,"gkatr",18771-30605,"1-48"
160,709702013865562112,"JSarakiotis, jsarakiotis",781-3874,"1-48"
161,297963914,"ERTsocial, Ertsocial",67050-90942,"1-34"
162,370598533,"katsafados",4604-5989,"1-26, 29-34"
163,795738344906952705,"documentonews",4919-59527,"1-13, 15-48"
164,864036626149847041,"karagianioa",7-14,"1-48"
165,879471180272599042,"fokas_aris",168-254,"1-7"
166,2500320130,"YiannisLoverdos",15296-25871,"1-48"
167,4822132755,"kaisasgeorgios",478-843,"1-48"
168,288821074,"loutrakiblog",376-587,"1-48"
169,2965712733,"akaranastasis",149-272,"1-48"
170,1399331456,"diaforetiko",957-1012,"1-48"
171,537431019,"ArampatziFotini, @ArampatziFotini",3960-6211,"1-48"
172,569183730,"XenakisSotiris",12849-19350,"1-48"
173,359403464,"fimotro",1087-1354,"1-48"
