twitter_handle,twitter_id,id,party
Ral_Christidou,171176245,399,1
g_psychogios,3100185977,431,1
Arvanitidis_Geo,269667949,150,2
ILHANAHMET,102001522,420,2
ngiannakopoulou,414090002,429,2
KaminisG,191033632,470,2
KastanidisHaris,534632102,369,2
michaelkatrinis,32475807,438,2
BKegeroglou,588106696,69,2
xarakefalidou,4126380982,244,2
Odysseas_,70713954,141,2
dkonstantop,3308342351,309,2
a_loverdos,225931853,189,2
GMoulkiotis,1191680252201852931,495,2
BurhanBaranDr,1177124881688866816,485,2
dimitrisbiagkis,1159407842350288896,410,2
GPapandreou,7005602,459,2
AndreasPoulas,347951559,489,2
KSkandalidis,539098641,17,2
FragidisGeorge,1248746286460919810,497,2
avdelas_ap,1254725873456078855,483,4
MariaAt03902914,1153988844498444288,475,4
anaik2020,1168241295149740038,481,4
SofAsimak,1148229718627540992,383,4
B3Vagenas,1302266183790604290,476,4
velopky,579067205,427,4
ViliardosV,174226430,395,4
kostasmpoumpas,1165984732045369344,471,4
AntMylonakis,501969331,474,4
ChitasKostas,366594800,406,4
karsenis,92969084,448,5
yanisvaroufakis,124690469,357,5
GeorgeLogiadis,1168885946361757705,371,5
fbakadima,350800867,421,5
SofiaSakorafa,533082734,418,5
kouroumplis,414287765,253,6
bogdanosk,53439175,301,6
