Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,128,50,5,0.5,2,5,1 min 51 sec,0.5417,0.751,0.5659,0.6603,0.4951,0.0724,0.2431,0.2366
Node2Vec,128,50,5,1,1,5,1 min 51 sec,0.5533,0.7427,0.5597,0.653,0.4897,0.0729,0.2425,0.2359
Node2Vec,128,50,5,2,0.5,5,1 min 51 sec,0.5583,0.7323,0.5535,0.6438,0.4855,0.0706,0.2458,0.2393
Node2Vec,128,50,10,0.5,2,5,3 min 24 sec,0.7599,0.9418,0.7478,0.828,0.6817,0.0696,0.2844,0.2789
Node2Vec,128,50,10,1,1,5,3 min 23 sec,0.755,0.9192,0.7303,0.8082,0.6661,0.0665,0.2846,0.2791
Node2Vec,128,50,10,2,0.5,5,3 min 25 sec,0.7669,0.9264,0.737,0.8145,0.6731,0.0673,0.2866,0.2813
Node2Vec,128,50,20,0.5,2,5,6 min 30 sec,0.7529,0.9311,0.7385,0.8186,0.6728,0.0678,0.2825,0.2771
Node2Vec,128,50,20,1,1,5,6 min 35 sec,0.7471,0.9207,0.7314,0.8095,0.6671,0.0636,0.2837,0.278
Node2Vec,128,50,20,2,0.5,5,6 min 33 sec,0.7529,0.9311,0.7387,0.8186,0.673,0.0647,0.2832,0.2772
Node2Vec,128,100,5,0.5,2,5,3 min 26 sec,0.7554,0.9251,0.7345,0.8133,0.6697,0.0685,0.2835,0.2785
Node2Vec,128,100,5,1,1,5,3 min 24 sec,0.7537,0.9205,0.7305,0.8093,0.6657,0.0655,0.2838,0.2781
Node2Vec,128,100,5,2,0.5,5,3 min 26 sec,0.7583,0.9247,0.7358,0.813,0.672,0.0675,0.2866,0.281
Node2Vec,128,100,10,0.5,2,5,6 min 39 sec,0.7471,0.9201,0.7306,0.809,0.6661,0.0655,0.2829,0.2776
Node2Vec,128,100,10,1,1,5,6 min 35 sec,0.7479,0.9323,0.7397,0.8197,0.674,0.0668,0.2822,0.2766
Node2Vec,128,100,10,2,0.5,5,6 min 37 sec,0.7475,0.9157,0.7271,0.8051,0.6628,0.0641,0.2825,0.2769
Node2Vec,128,100,20,0.5,2,5,12 min 59 sec,0.7405,0.933,0.7393,0.8203,0.6728,0.0662,0.2807,0.2752
Node2Vec,128,100,20,1,1,5,13 min 2 sec,0.7384,0.9291,0.7354,0.8168,0.6688,0.0638,0.2805,0.2744
Node2Vec,128,100,20,2,0.5,5,13 min 1 sec,0.7434,0.9485,0.7494,0.8339,0.6804,0.0641,0.2816,0.2743
Node2Vec,128,200,5,0.5,2,5,6 min 36 sec,0.7409,0.9238,0.7322,0.8122,0.6666,0.0657,0.2813,0.2757
Node2Vec,128,200,5,1,1,5,6 min 36 sec,0.7417,0.9011,0.7151,0.7923,0.6517,0.0635,0.2818,0.2765
Node2Vec,128,200,5,2,0.5,5,6 min 38 sec,0.7533,0.9305,0.7379,0.8181,0.6721,0.0661,0.2818,0.2765
Node2Vec,128,200,10,0.5,2,5,13 min 2 sec,0.7372,0.9224,0.7317,0.8109,0.6666,0.0648,0.2814,0.2759
Node2Vec,128,200,10,1,1,5,12 min 59 sec,0.7326,0.9296,0.7356,0.8173,0.6688,0.0643,0.28,0.2739
Node2Vec,128,200,10,2,0.5,5,13 min 0 sec,0.7331,0.9572,0.7547,0.8415,0.6841,0.0665,0.2791,0.2718
Node2Vec,128,200,20,0.5,2,5,25 min 46 sec,0.7405,0.9553,0.7542,0.8399,0.6845,0.0668,0.2796,0.2731
Node2Vec,128,200,20,1,1,5,25 min 50 sec,0.7331,0.9589,0.7566,0.8431,0.6862,0.0713,0.2797,0.2725
Node2Vec,128,200,20,2,0.5,5,25 min 54 sec,0.7446,0.9618,0.7591,0.8456,0.6887,0.0676,0.2814,0.2739
