Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,128,50,5,0.5,2,4,1 min 51 sec,0.6723,0.7033,0.5873,0.6184,0.5601,0.0935,0.3231,0.3179
Node2Vec,128,50,5,1,1,4,1 min 51 sec,0.6921,0.6951,0.5801,0.6111,0.5529,0.0937,0.3228,0.3176
Node2Vec,128,50,5,2,0.5,4,1 min 51 sec,0.6913,0.7112,0.592,0.6253,0.5626,0.0951,0.3166,0.3117
Node2Vec,128,50,10,0.5,2,4,3 min 24 sec,0.8979,0.9384,0.8637,0.825,0.9078,0.143,0.4175,0.4155
Node2Vec,128,50,10,1,1,4,3 min 23 sec,0.9132,0.9449,0.874,0.8307,0.9221,0.1495,0.4265,0.4242
Node2Vec,128,50,10,2,0.5,4,3 min 25 sec,0.9165,0.9552,0.8858,0.8399,0.9371,0.1501,0.4279,0.4261
Node2Vec,128,50,20,0.5,2,4,6 min 30 sec,0.9165,0.9578,0.8873,0.8421,0.9378,0.1503,0.4277,0.4254
Node2Vec,128,50,20,1,1,4,6 min 35 sec,0.9066,0.949,0.8745,0.8343,0.9196,0.145,0.4192,0.4172
Node2Vec,128,50,20,2,0.5,4,6 min 33 sec,0.9178,0.9672,0.8958,0.8504,0.9463,0.1505,0.4282,0.4255
Node2Vec,128,100,5,0.5,2,4,3 min 26 sec,0.9149,0.9476,0.8792,0.8331,0.9307,0.1497,0.429,0.4271
Node2Vec,128,100,5,1,1,4,3 min 24 sec,0.8975,0.9471,0.8688,0.8327,0.9104,0.1413,0.4143,0.412
Node2Vec,128,100,5,2,0.5,4,3 min 26 sec,0.8971,0.9332,0.8593,0.8205,0.9034,0.1408,0.4184,0.4159
Node2Vec,128,100,10,0.5,2,4,6 min 39 sec,0.9169,0.961,0.889,0.8449,0.9379,0.1507,0.425,0.4234
Node2Vec,128,100,10,1,1,4,6 min 35 sec,0.9157,0.9491,0.881,0.8345,0.933,0.1495,0.4298,0.4276
Node2Vec,128,100,10,2,0.5,4,6 min 37 sec,0.9182,0.9659,0.8937,0.8492,0.9431,0.1507,0.4267,0.4242
Node2Vec,128,100,20,0.5,2,4,12 min 59 sec,0.9153,0.9527,0.8844,0.8376,0.9368,0.1499,0.4299,0.4277
Node2Vec,128,100,20,1,1,4,13 min 2 sec,0.8921,0.9483,0.865,0.8337,0.9,0.1368,0.4093,0.4045
Node2Vec,128,100,20,2,0.5,4,13 min 1 sec,0.8864,0.9526,0.8663,0.8375,0.8987,0.1363,0.41,0.404
Node2Vec,128,200,5,0.5,2,4,6 min 36 sec,0.9165,0.9559,0.8858,0.8404,0.9364,0.1499,0.4269,0.4253
Node2Vec,128,200,5,1,1,4,6 min 36 sec,0.9153,0.9487,0.8799,0.8341,0.9312,0.1495,0.4288,0.4268
Node2Vec,128,200,5,2,0.5,4,6 min 38 sec,0.8988,0.9455,0.8681,0.8313,0.9093,0.1425,0.4149,0.412
Node2Vec,128,200,10,0.5,2,4,13 min 2 sec,0.8983,0.9445,0.8692,0.8304,0.9131,0.1424,0.4175,0.4149
Node2Vec,128,200,10,1,1,4,12 min 59 sec,0.907,0.9582,0.8828,0.8425,0.9279,0.1445,0.4221,0.4184
Node2Vec,128,200,10,2,0.5,4,13 min 0 sec,0.9169,0.9831,0.9052,0.8643,0.9501,0.1508,0.4288,0.4232
Node2Vec,128,200,20,0.5,2,4,25 min 46 sec,0.9045,0.9699,0.8875,0.8527,0.9267,0.1447,0.4173,0.413
Node2Vec,128,200,20,1,1,4,25 min 50 sec,0.8492,0.9157,0.8151,0.8051,0.8282,0.117,0.3802,0.3741
Node2Vec,128,200,20,2,0.5,4,25 min 54 sec,0.8599,0.9402,0.8427,0.8266,0.8618,0.1241,0.3888,0.3825
