Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,32,50,5,0.5,2,5,1 min 24 sec,0.5769,0.7962,0.6005,0.7,0.5258,0.0747,0.2425,0.236
Node2Vec,32,50,5,1,1,5,1 min 23 sec,0.5868,0.8053,0.6076,0.708,0.5322,0.0761,0.2425,0.2358
Node2Vec,32,50,5,2,0.5,5,1 min 24 sec,0.5913,0.7898,0.5962,0.6944,0.5224,0.0722,0.2437,0.2374
Node2Vec,32,50,10,0.5,2,5,2 min 44 sec,0.7554,0.9363,0.7427,0.8232,0.6766,0.0683,0.2829,0.2776
Node2Vec,32,50,10,1,1,5,2 min 44 sec,0.7463,0.9204,0.7291,0.8092,0.6635,0.0656,0.2809,0.2755
Node2Vec,32,50,10,2,0.5,5,2 min 43 sec,0.7632,0.9196,0.7318,0.8085,0.6685,0.0675,0.2861,0.2813
Node2Vec,32,50,20,0.5,2,5,5 min 21 sec,0.7459,0.9295,0.7366,0.8172,0.6705,0.0673,0.2815,0.2758
Node2Vec,32,50,20,1,1,5,5 min 18 sec,0.7442,0.9319,0.7383,0.8193,0.6719,0.0657,0.2809,0.2753
Node2Vec,32,50,20,2,0.5,5,5 min 17 sec,0.7434,0.9243,0.733,0.8126,0.6676,0.0633,0.2823,0.2762
Node2Vec,32,100,5,0.5,2,5,2 min 42 sec,0.7504,0.9215,0.7314,0.8102,0.6666,0.0676,0.2823,0.2774
Node2Vec,32,100,5,1,1,5,2 min 42 sec,0.7525,0.9152,0.7267,0.8046,0.6625,0.0652,0.2836,0.2783
Node2Vec,32,100,5,2,0.5,5,2 min 43 sec,0.7496,0.9335,0.7399,0.8207,0.6735,0.0663,0.2814,0.2761
Node2Vec,32,100,10,0.5,2,5,5 min 21 sec,0.7459,0.9186,0.7295,0.8077,0.6651,0.0658,0.2826,0.2775
Node2Vec,32,100,10,1,1,5,5 min 19 sec,0.7525,0.9314,0.7403,0.8189,0.6755,0.0666,0.2838,0.2785
Node2Vec,32,100,10,2,0.5,5,5 min 21 sec,0.7512,0.9262,0.7345,0.8143,0.669,0.0652,0.2823,0.2765
Node2Vec,32,100,20,0.5,2,5,10 min 33 sec,0.7504,0.9291,0.738,0.8169,0.6731,0.0652,0.2843,0.2786
Node2Vec,32,100,20,1,1,5,10 min 38 sec,0.7364,0.945,0.7457,0.8308,0.6764,0.0653,0.2792,0.2724
Node2Vec,32,100,20,2,0.5,5,10 min 39 sec,0.7463,0.947,0.7485,0.8326,0.6798,0.0645,0.2824,0.2752
Node2Vec,32,200,5,0.5,2,5,5 min 24 sec,0.7393,0.919,0.7283,0.808,0.6628,0.0657,0.2805,0.275
Node2Vec,32,200,5,1,1,5,5 min 24 sec,0.7318,0.8998,0.7131,0.7911,0.6491,0.0632,0.2799,0.2743
Node2Vec,32,200,5,2,0.5,5,5 min 24 sec,0.7475,0.9327,0.738,0.8201,0.6709,0.0654,0.2794,0.2739
Node2Vec,32,200,10,0.5,2,5,10 min 41 sec,0.7318,0.9235,0.7314,0.812,0.6655,0.0659,0.2797,0.2741
Node2Vec,32,200,10,1,1,5,10 min 46 sec,0.7393,0.9354,0.7419,0.8224,0.6757,0.0649,0.2825,0.2765
Node2Vec,32,200,10,2,0.5,5,10 min 47 sec,0.738,0.9431,0.7459,0.8291,0.6778,0.0642,0.2822,0.275
Node2Vec,32,200,20,0.5,2,5,21 min 28 sec,0.7417,0.952,0.7522,0.837,0.683,0.0658,0.2802,0.2736
Node2Vec,32,200,20,1,1,5,21 min 29 sec,0.7368,0.9591,0.7573,0.8432,0.6873,0.0673,0.2809,0.2737
Node2Vec,32,200,20,2,0.5,5,21 min 27 sec,0.7397,0.9633,0.7593,0.8469,0.6881,0.0658,0.28,0.2724
