Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,32,50,5,0.5,2,4,1 min 24 sec,0.75,0.7745,0.663,0.6809,0.6475,0.1056,0.3596,0.3547
Node2Vec,32,50,5,1,1,4,1 min 23 sec,0.7207,0.7378,0.6242,0.6487,0.6027,0.1006,0.3413,0.3364
Node2Vec,32,50,5,2,0.5,4,1 min 24 sec,0.6909,0.7361,0.6108,0.6472,0.5788,0.097,0.3131,0.3079
Node2Vec,32,50,10,0.5,2,4,2 min 44 sec,0.9157,0.948,0.8807,0.8335,0.9338,0.1498,0.4296,0.4281
Node2Vec,32,50,10,1,1,4,2 min 44 sec,0.9136,0.945,0.8757,0.8308,0.9258,0.1494,0.4284,0.4262
Node2Vec,32,50,10,2,0.5,4,2 min 43 sec,0.9157,0.9523,0.8833,0.8373,0.9348,0.15,0.4281,0.4263
Node2Vec,32,50,20,0.5,2,4,5 min 21 sec,0.9161,0.9545,0.884,0.8392,0.9339,0.1503,0.4274,0.4251
Node2Vec,32,50,20,1,1,4,5 min 18 sec,0.907,0.9436,0.8702,0.8296,0.9158,0.1447,0.4199,0.4177
Node2Vec,32,50,20,2,0.5,4,5 min 17 sec,0.9161,0.9684,0.8963,0.8514,0.9463,0.1497,0.4312,0.427
Node2Vec,32,100,5,0.5,2,4,2 min 42 sec,0.914,0.9438,0.8759,0.8298,0.9275,0.1497,0.4297,0.4275
Node2Vec,32,100,5,1,1,4,2 min 42 sec,0.9178,0.9625,0.8917,0.8462,0.9423,0.1499,0.4271,0.4253
Node2Vec,32,100,5,2,0.5,4,2 min 43 sec,0.9161,0.9563,0.887,0.8408,0.9385,0.1499,0.4289,0.4266
Node2Vec,32,100,10,0.5,2,4,5 min 21 sec,0.9169,0.9583,0.8877,0.8425,0.9381,0.1504,0.4265,0.4249
Node2Vec,32,100,10,1,1,4,5 min 19 sec,0.9157,0.95,0.8821,0.8353,0.9346,0.1496,0.4308,0.4281
Node2Vec,32,100,10,2,0.5,4,5 min 21 sec,0.9025,0.9501,0.8733,0.8353,0.9159,0.1432,0.4171,0.4142
Node2Vec,32,100,20,0.5,2,4,10 min 33 sec,0.9174,0.9662,0.8941,0.8495,0.9436,0.1506,0.4275,0.4248
Node2Vec,32,100,20,1,1,4,10 min 38 sec,0.9182,0.9789,0.9036,0.8607,0.9511,0.1505,0.4286,0.4242
Node2Vec,32,100,20,2,0.5,4,10 min 39 sec,0.8769,0.9434,0.8519,0.8294,0.8777,0.1305,0.3992,0.3935
Node2Vec,32,200,5,0.5,2,4,5 min 24 sec,0.9153,0.9492,0.8805,0.8345,0.932,0.1497,0.4281,0.4265
Node2Vec,32,200,5,1,1,4,5 min 24 sec,0.914,0.9431,0.875,0.8292,0.9263,0.1493,0.4292,0.4272
Node2Vec,32,200,5,2,0.5,4,5 min 24 sec,0.9178,0.9651,0.8924,0.8485,0.9411,0.1508,0.4263,0.4235
Node2Vec,32,200,10,0.5,2,4,10 min 41 sec,0.9174,0.9637,0.8919,0.8473,0.9415,0.1508,0.4269,0.4244
Node2Vec,32,200,10,1,1,4,10 min 46 sec,0.9182,0.9703,0.8983,0.8531,0.9485,0.1504,0.4293,0.426
Node2Vec,32,200,10,2,0.5,4,10 min 47 sec,0.8868,0.9458,0.8561,0.8315,0.8836,0.1345,0.4045,0.3987
Node2Vec,32,200,20,0.5,2,4,21 min 28 sec,0.9178,0.9719,0.8974,0.8545,0.945,0.1506,0.4283,0.4242
Node2Vec,32,200,20,1,1,4,21 min 29 sec,0.919,0.9874,0.9111,0.8681,0.9585,0.1508,0.4306,0.4251
Node2Vec,32,200,20,2,0.5,4,21 min 27 sec,0.8711,0.9471,0.8563,0.8327,0.8833,0.1295,0.4007,0.3946
