Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,8,50,5,0.5,2,4,1 min 40 sec,0.6686,0.7541,0.6182,0.663,0.5804,0.0982,0.2908,0.2848
Node2Vec,8,50,5,1,1,4,1 min 40 sec,0.6955,0.7343,0.6158,0.6456,0.5907,0.0965,0.3259,0.3202
Node2Vec,8,50,5,2,0.5,4,1 min 42 sec,0.712,0.7513,0.6271,0.6605,0.5978,0.1051,0.3182,0.3124
Node2Vec,8,50,10,0.5,2,4,3 min 12 sec,0.8905,0.9238,0.8516,0.8122,0.8973,0.1409,0.4188,0.4165
Node2Vec,8,50,10,1,1,4,3 min 13 sec,0.9116,0.9364,0.8682,0.8233,0.9184,0.149,0.4298,0.427
Node2Vec,8,50,10,2,0.5,4,3 min 11 sec,0.9149,0.9506,0.8802,0.8358,0.9297,0.1492,0.4275,0.4253
Node2Vec,8,50,20,0.5,2,4,6 min 15 sec,0.9174,0.9599,0.8894,0.8439,0.9402,0.1504,0.4283,0.4256
Node2Vec,8,50,20,1,1,4,6 min 18 sec,0.9161,0.9547,0.8866,0.8394,0.9396,0.1496,0.4301,0.4279
Node2Vec,8,50,20,2,0.5,4,6 min 15 sec,0.9153,0.9576,0.8875,0.8419,0.9384,0.1501,0.4299,0.4268
Node2Vec,8,100,5,0.5,2,4,3 min 14 sec,0.9128,0.9428,0.873,0.8289,0.9222,0.1494,0.4283,0.4257
Node2Vec,8,100,5,1,1,4,3 min 17 sec,0.9149,0.9495,0.8824,0.8348,0.9358,0.1491,0.4318,0.4291
Node2Vec,8,100,5,2,0.5,4,3 min 15 sec,0.8963,0.9323,0.8587,0.8197,0.903,0.1422,0.4188,0.416
Node2Vec,8,100,10,0.5,2,4,6 min 20 sec,0.9165,0.9572,0.8867,0.8416,0.9371,0.1503,0.4276,0.4253
Node2Vec,8,100,10,1,1,4,6 min 28 sec,0.9161,0.9511,0.8835,0.8362,0.9364,0.1496,0.4307,0.4283
Node2Vec,8,100,10,2,0.5,4,6 min 22 sec,0.9178,0.9673,0.8947,0.8504,0.9439,0.1506,0.4281,0.4248
Node2Vec,8,100,20,0.5,2,4,12 min 40 sec,0.9165,0.9659,0.8932,0.8492,0.9421,0.1505,0.4294,0.4254
Node2Vec,8,100,20,1,1,4,12 min 46 sec,0.9182,0.9844,0.9076,0.8654,0.954,0.1506,0.4289,0.4238
Node2Vec,8,100,20,2,0.5,4,12 min 37 sec,0.9186,0.9893,0.911,0.8698,0.9563,0.1509,0.4287,0.4231
Node2Vec,8,200,5,0.5,2,4,6 min 27 sec,0.9169,0.9604,0.8883,0.8444,0.9371,0.1502,0.4261,0.4239
Node2Vec,8,200,5,1,1,4,6 min 27 sec,0.9153,0.95,0.8807,0.8353,0.9315,0.1497,0.4294,0.4267
Node2Vec,8,200,5,2,0.5,4,6 min 26 sec,0.9178,0.9629,0.8907,0.8466,0.9397,0.1507,0.4269,0.424
Node2Vec,8,200,10,0.5,2,4,12 min 44 sec,0.9174,0.9634,0.892,0.847,0.9421,0.1507,0.4277,0.425
Node2Vec,8,200,10,1,1,4,12 min 43 sec,0.9194,0.9765,0.9037,0.8585,0.9538,0.1507,0.4291,0.4255
Node2Vec,8,200,10,2,0.5,4,12 min 41 sec,0.919,0.9898,0.9121,0.8702,0.9581,0.151,0.4292,0.4237
Node2Vec,8,200,20,0.5,2,4,25 min 16 sec,0.9169,0.9733,0.8991,0.8558,0.947,0.1507,0.4292,0.425
Node2Vec,8,200,20,1,1,4,25 min 26 sec,0.9198,0.9914,0.9149,0.8717,0.9626,0.1509,0.4306,0.4251
Node2Vec,8,200,20,2,0.5,4,25 min 22 sec,0.9186,0.9898,0.9127,0.8703,0.9594,0.1508,0.4304,0.4247
