Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,64,50,5,0.5,2,4,1 min 31 sec,0.6558,0.6947,0.5757,0.6108,0.5452,0.0918,0.3112,0.3061
Node2Vec,64,50,5,1,1,4,1 min 33 sec,0.6864,0.6928,0.5753,0.6091,0.5453,0.0936,0.3164,0.3111
Node2Vec,64,50,5,2,0.5,4,1 min 31 sec,0.6736,0.6993,0.5806,0.6148,0.5506,0.0921,0.3131,0.3082
Node2Vec,64,50,10,0.5,2,4,2 min 55 sec,0.8773,0.9273,0.8451,0.8152,0.8802,0.1341,0.4046,0.4023
Node2Vec,64,50,10,1,1,4,2 min 54 sec,0.9136,0.9471,0.8763,0.8327,0.9247,0.1498,0.4262,0.4241
Node2Vec,64,50,10,2,0.5,4,2 min 56 sec,0.9153,0.9495,0.8814,0.8348,0.9335,0.1499,0.4289,0.4271
Node2Vec,64,50,20,0.5,2,4,5 min 41 sec,0.9165,0.9564,0.8859,0.8408,0.9362,0.15,0.4277,0.4255
Node2Vec,64,50,20,1,1,4,5 min 41 sec,0.9182,0.9626,0.8919,0.8463,0.9428,0.1502,0.427,0.4252
Node2Vec,64,50,20,2,0.5,4,5 min 39 sec,0.9182,0.968,0.8961,0.8511,0.9462,0.1507,0.4268,0.4245
Node2Vec,64,100,5,0.5,2,4,2 min 56 sec,0.8702,0.9168,0.8346,0.8061,0.8687,0.1342,0.4026,0.4002
Node2Vec,64,100,5,1,1,4,2 min 57 sec,0.8566,0.9191,0.8257,0.8081,0.8487,0.1239,0.3872,0.384
Node2Vec,64,100,5,2,0.5,4,2 min 56 sec,0.8802,0.9153,0.8362,0.8048,0.8727,0.1317,0.407,0.4042
Node2Vec,64,100,10,0.5,2,4,5 min 45 sec,0.9174,0.9607,0.8899,0.8447,0.9403,0.1505,0.4262,0.4246
Node2Vec,64,100,10,1,1,4,5 min 45 sec,0.9178,0.9608,0.8897,0.8447,0.9397,0.1501,0.4273,0.425
Node2Vec,64,100,10,2,0.5,4,5 min 48 sec,0.9182,0.9657,0.894,0.849,0.9441,0.1506,0.4273,0.4248
Node2Vec,64,100,20,0.5,2,4,11 min 26 sec,0.9169,0.9615,0.8903,0.8454,0.9402,0.1505,0.4272,0.425
Node2Vec,64,100,20,1,1,4,11 min 27 sec,0.8971,0.9586,0.8728,0.8428,0.9065,0.1408,0.4105,0.4061
Node2Vec,64,100,20,2,0.5,4,11 min 27 sec,0.8789,0.9451,0.854,0.8309,0.8802,0.1309,0.4002,0.3944
Node2Vec,64,200,5,0.5,2,4,5 min 46 sec,0.9157,0.9508,0.882,0.8359,0.9335,0.1498,0.4281,0.4265
Node2Vec,64,200,5,1,1,4,5 min 50 sec,0.9136,0.9418,0.8749,0.828,0.9276,0.1493,0.4305,0.4286
Node2Vec,64,200,5,2,0.5,4,5 min 47 sec,0.9186,0.9677,0.8955,0.8508,0.9451,0.1509,0.4268,0.4241
Node2Vec,64,200,10,0.5,2,4,11 min 32 sec,0.8769,0.9141,0.8362,0.8037,0.8731,0.1341,0.4081,0.4049
Node2Vec,64,200,10,1,1,4,11 min 32 sec,0.8909,0.9471,0.8649,0.8327,0.9016,0.1374,0.4093,0.4057
Node2Vec,64,200,10,2,0.5,4,11 min 31 sec,0.9174,0.9834,0.9062,0.8646,0.952,0.1508,0.4295,0.424
Node2Vec,64,200,20,0.5,2,4,22 min 55 sec,0.9012,0.9651,0.8839,0.8486,0.9232,0.143,0.4158,0.4115
Node2Vec,64,200,20,1,1,4,22 min 47 sec,0.8636,0.9243,0.8294,0.8126,0.8493,0.1244,0.3921,0.386
Node2Vec,64,200,20,2,0.5,4,22 min 45 sec,0.857,0.9372,0.8393,0.824,0.8578,0.1223,0.3881,0.3818
