Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,16,50,5,0.5,2,4,1 min 33 sec,0.6488,0.6963,0.5784,0.6122,0.5495,0.0902,0.3143,0.3092
Node2Vec,16,50,5,1,1,4,1 min 31 sec,0.6884,0.693,0.5776,0.6092,0.5496,0.0935,0.3212,0.316
Node2Vec,16,50,5,2,0.5,4,1 min 31 sec,0.6558,0.7053,0.5832,0.6201,0.5508,0.0922,0.3074,0.3024
Node2Vec,16,50,10,0.5,2,4,2 min 55 sec,0.8748,0.9163,0.837,0.8056,0.8736,0.132,0.4066,0.4045
Node2Vec,16,50,10,1,1,4,2 min 55 sec,0.9132,0.9451,0.874,0.8309,0.9219,0.1493,0.4263,0.424
Node2Vec,16,50,10,2,0.5,4,2 min 55 sec,0.9157,0.9549,0.884,0.8396,0.9335,0.1499,0.4264,0.4245
Node2Vec,16,50,20,0.5,2,4,5 min 42 sec,0.9165,0.9564,0.8859,0.8408,0.9362,0.15,0.4277,0.4255
Node2Vec,16,50,20,1,1,4,5 min 44 sec,0.9178,0.961,0.8912,0.8449,0.9429,0.15,0.4282,0.4262
Node2Vec,16,50,20,2,0.5,4,5 min 44 sec,0.9169,0.9581,0.8895,0.8424,0.9424,0.1499,0.4298,0.4276
Node2Vec,16,100,5,0.5,2,4,2 min 57 sec,0.9136,0.9414,0.8742,0.8277,0.9264,0.1497,0.4302,0.4281
Node2Vec,16,100,5,1,1,4,2 min 58 sec,0.8938,0.9358,0.858,0.8227,0.8987,0.1411,0.4136,0.4113
Node2Vec,16,100,5,2,0.5,4,2 min 58 sec,0.9157,0.9545,0.8849,0.8392,0.9361,0.1498,0.429,0.4265
Node2Vec,16,100,10,0.5,2,4,5 min 50 sec,0.9165,0.96,0.8883,0.844,0.9375,0.1505,0.4254,0.4238
Node2Vec,16,100,10,1,1,4,5 min 51 sec,0.9174,0.9581,0.8881,0.8424,0.939,0.15,0.4283,0.426
Node2Vec,16,100,10,2,0.5,4,5 min 50 sec,0.9041,0.9541,0.8767,0.8388,0.919,0.1441,0.4164,0.4137
Node2Vec,16,100,20,0.5,2,4,11 min 34 sec,0.9169,0.9613,0.8906,0.8452,0.9413,0.1504,0.4278,0.4256
Node2Vec,16,100,20,1,1,4,11 min 34 sec,0.9182,0.9792,0.9038,0.8609,0.9512,0.1505,0.428,0.4238
Node2Vec,16,100,20,2,0.5,4,11 min 32 sec,0.9017,0.9724,0.8899,0.8549,0.9289,0.1427,0.4182,0.4126
Node2Vec,16,200,5,0.5,2,4,5 min 53 sec,0.9153,0.9493,0.88,0.8346,0.9307,0.1497,0.4276,0.4261
Node2Vec,16,200,5,1,1,4,5 min 52 sec,0.914,0.9444,0.8765,0.8303,0.9283,0.1495,0.4296,0.4276
Node2Vec,16,200,5,2,0.5,4,5 min 52 sec,0.9186,0.9669,0.8949,0.8501,0.9447,0.1507,0.427,0.4243
Node2Vec,16,200,10,0.5,2,4,11 min 37 sec,0.9169,0.9613,0.8898,0.8452,0.9394,0.1507,0.4271,0.4246
Node2Vec,16,200,10,1,1,4,11 min 38 sec,0.9087,0.9603,0.8843,0.8443,0.9288,0.1453,0.4209,0.4174
Node2Vec,16,200,10,2,0.5,4,11 min 42 sec,0.893,0.9594,0.8783,0.8435,0.9169,0.141,0.4181,0.4125
Node2Vec,16,200,20,0.5,2,4,23 min 14 sec,0.919,0.9813,0.9067,0.8628,0.9554,0.1509,0.4285,0.4245
Node2Vec,16,200,20,1,1,4,23 min 17 sec,0.9182,0.9839,0.9084,0.865,0.9565,0.1506,0.4314,0.4259
Node2Vec,16,200,20,2,0.5,4,23 min 51 sec,0.9194,0.9939,0.9163,0.8738,0.9631,0.1509,0.4302,0.4245
