Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,4,50,5,0.5,2,4,1 min 38 sec,0.6211,0.7011,0.5685,0.6164,0.5276,0.0912,0.2828,0.277
Node2Vec,4,50,5,1,1,4,1 min 24 sec,0.6715,0.7119,0.5858,0.6259,0.5511,0.0951,0.3047,0.2986
Node2Vec,4,50,5,2,0.5,4,1 min 23 sec,0.6335,0.6893,0.5617,0.606,0.5238,0.0893,0.2893,0.2835
Node2Vec,4,50,10,0.5,2,4,2 min 45 sec,0.8236,0.8626,0.7654,0.7584,0.7761,0.1172,0.3735,0.3697
Node2Vec,4,50,10,1,1,4,2 min 42 sec,0.7649,0.8155,0.7078,0.717,0.7025,0.0984,0.3495,0.3453
Node2Vec,4,50,10,2,0.5,4,2 min 42 sec,0.7285,0.7911,0.677,0.6955,0.6615,0.0927,0.3326,0.3281
Node2Vec,4,50,20,0.5,2,4,5 min 22 sec,0.9132,0.944,0.8798,0.83,0.9361,0.149,0.4333,0.4313
Node2Vec,4,50,20,1,1,4,5 min 22 sec,0.8285,0.842,0.7673,0.7403,0.8002,0.1172,0.4001,0.3973
Node2Vec,4,50,20,2,0.5,4,5 min 20 sec,0.8236,0.881,0.7863,0.7746,0.8043,0.1151,0.3805,0.3761
Node2Vec,4,100,5,0.5,2,4,2 min 46 sec,0.8207,0.8616,0.7654,0.7575,0.7773,0.1192,0.376,0.3721
Node2Vec,4,100,5,1,1,4,2 min 44 sec,0.8488,0.8603,0.7764,0.7564,0.8008,0.1307,0.3938,0.3912
Node2Vec,4,100,5,2,0.5,4,2 min 44 sec,0.8132,0.8356,0.7461,0.7347,0.7607,0.1157,0.3814,0.3777
Node2Vec,4,100,10,0.5,2,4,5 min 25 sec,0.8731,0.9335,0.8466,0.8208,0.8777,0.133,0.3994,0.397
Node2Vec,4,100,10,1,1,4,5 min 24 sec,0.8479,0.88,0.7921,0.7737,0.8147,0.1192,0.3872,0.3842
Node2Vec,4,100,10,2,0.5,4,5 min 38 sec,0.8773,0.9033,0.8276,0.7941,0.8674,0.1342,0.4141,0.4108
Node2Vec,4,100,20,0.5,2,4,10 min 52 sec,0.9136,0.9511,0.8841,0.8362,0.9379,0.1493,0.4333,0.43
Node2Vec,4,100,20,1,1,4,10 min 42 sec,0.9128,0.9475,0.8799,0.833,0.9326,0.1493,0.4328,0.4293
Node2Vec,4,100,20,2,0.5,4,10 min 43 sec,0.8339,0.9197,0.8166,0.8086,0.8306,0.1167,0.3793,0.374
Node2Vec,4,200,5,0.5,2,4,5 min 27 sec,0.8678,0.9023,0.828,0.7933,0.8685,0.1304,0.4092,0.407
Node2Vec,4,200,5,1,1,4,5 min 26 sec,0.8731,0.9064,0.8299,0.7969,0.8695,0.1342,0.4107,0.4084
Node2Vec,4,200,5,2,0.5,4,5 min 27 sec,0.8442,0.8914,0.8064,0.7837,0.8347,0.1228,0.3939,0.3913
Node2Vec,4,200,10,0.5,2,4,10 min 48 sec,0.8917,0.9384,0.8639,0.8251,0.9091,0.1406,0.4196,0.4164
Node2Vec,4,200,10,1,1,4,11 min 14 sec,0.8938,0.9452,0.8699,0.831,0.915,0.1411,0.4178,0.4154
Node2Vec,4,200,10,2,0.5,4,11 min 24 sec,0.8748,0.9234,0.844,0.8119,0.8822,0.1314,0.4126,0.4076
Node2Vec,4,200,20,0.5,2,4,22 min 34 sec,0.9128,0.9446,0.8767,0.8305,0.9285,0.1496,0.4321,0.4288
Node2Vec,4,200,20,1,1,4,21 min 59 sec,0.9099,0.951,0.8837,0.8361,0.9371,0.1486,0.4375,0.4325
Node2Vec,4,200,20,2,0.5,4,22 min 3 sec,0.9041,0.9668,0.8869,0.85,0.9284,0.1433,0.4231,0.4174
