Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,64,50,5,0.5,2,5,1 min 31 sec,0.5413,0.7336,0.5542,0.6449,0.4858,0.0714,0.2456,0.2388
Node2Vec,64,50,5,1,1,5,1 min 33 sec,0.5603,0.7397,0.56,0.6504,0.4917,0.0734,0.2482,0.2415
Node2Vec,64,50,5,2,0.5,5,1 min 31 sec,0.5525,0.7353,0.5556,0.6465,0.4871,0.0712,0.2449,0.2383
Node2Vec,64,50,10,0.5,2,5,2 min 55 sec,0.7488,0.9335,0.7394,0.8208,0.6729,0.0665,0.2833,0.2777
Node2Vec,64,50,10,1,1,5,2 min 54 sec,0.7545,0.9279,0.7352,0.8158,0.6691,0.068,0.2822,0.2767
Node2Vec,64,50,10,2,0.5,5,2 min 56 sec,0.7702,0.9343,0.7431,0.8215,0.6784,0.0705,0.2866,0.2813
Node2Vec,64,50,20,0.5,2,5,5 min 41 sec,0.7512,0.9328,0.7398,0.8201,0.6738,0.067,0.2821,0.2767
Node2Vec,64,50,20,1,1,5,5 min 41 sec,0.7512,0.9161,0.7276,0.8054,0.6635,0.0627,0.2836,0.2781
Node2Vec,64,50,20,2,0.5,5,5 min 39 sec,0.7488,0.9256,0.7345,0.8138,0.6693,0.0641,0.2825,0.2768
Node2Vec,64,100,5,0.5,2,5,2 min 56 sec,0.7624,0.9323,0.7407,0.8196,0.6758,0.0707,0.2851,0.2802
Node2Vec,64,100,5,1,1,5,2 min 57 sec,0.7583,0.9273,0.7358,0.8153,0.6704,0.067,0.2841,0.2783
Node2Vec,64,100,5,2,0.5,5,2 min 56 sec,0.7517,0.9171,0.7279,0.8063,0.6635,0.0648,0.2855,0.2797
Node2Vec,64,100,10,0.5,2,5,5 min 45 sec,0.7455,0.9215,0.7316,0.8102,0.6669,0.0653,0.2825,0.2772
Node2Vec,64,100,10,1,1,5,5 min 45 sec,0.7492,0.9263,0.7354,0.8144,0.6705,0.0665,0.2831,0.2776
Node2Vec,64,100,10,2,0.5,5,5 min 48 sec,0.7508,0.9182,0.7294,0.8073,0.6652,0.064,0.2833,0.2776
Node2Vec,64,100,20,0.5,2,5,11 min 26 sec,0.7401,0.9145,0.7264,0.804,0.6625,0.064,0.2819,0.2767
Node2Vec,64,100,20,1,1,5,11 min 27 sec,0.736,0.943,0.7452,0.8291,0.6767,0.0655,0.2799,0.2734
Node2Vec,64,100,20,2,0.5,5,11 min 27 sec,0.7529,0.9491,0.7507,0.8344,0.6823,0.0641,0.2834,0.2763
Node2Vec,64,200,5,0.5,2,5,5 min 46 sec,0.7393,0.9176,0.7272,0.8067,0.662,0.0646,0.2809,0.2754
Node2Vec,64,200,5,1,1,5,5 min 50 sec,0.7401,0.8958,0.7106,0.7876,0.6473,0.0626,0.2816,0.2761
Node2Vec,64,200,5,2,0.5,5,5 min 47 sec,0.7475,0.9394,0.7434,0.8259,0.676,0.0662,0.2796,0.274
Node2Vec,64,200,10,0.5,2,5,11 min 32 sec,0.743,0.9224,0.7313,0.8109,0.6659,0.0646,0.2815,0.2759
Node2Vec,64,200,10,1,1,5,11 min 32 sec,0.7322,0.9355,0.7408,0.8225,0.674,0.0655,0.2807,0.2747
Node2Vec,64,200,10,2,0.5,5,11 min 31 sec,0.7351,0.9533,0.7521,0.8381,0.6821,0.0663,0.2799,0.2726
Node2Vec,64,200,20,0.5,2,5,22 min 55 sec,0.738,0.9527,0.7521,0.8377,0.6825,0.0663,0.2794,0.2727
Node2Vec,64,200,20,1,1,5,22 min 47 sec,0.7376,0.9466,0.7486,0.8322,0.6803,0.0643,0.2827,0.2753
Node2Vec,64,200,20,2,0.5,5,22 min 45 sec,0.7459,0.9693,0.7642,0.8522,0.6928,0.0658,0.2804,0.2728
