Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,4,50,5,0.5,2,5,1 min 38 sec,0.5764,0.7448,0.5585,0.6548,0.487,0.0729,0.2359,0.2292
Node2Vec,4,50,5,1,1,5,1 min 24 sec,0.5579,0.7229,0.5365,0.6356,0.4642,0.07,0.226,0.219
Node2Vec,4,50,5,2,0.5,5,1 min 23 sec,0.5777,0.7297,0.5453,0.6416,0.4742,0.073,0.2345,0.2275
Node2Vec,4,50,10,0.5,2,5,2 min 45 sec,0.7124,0.8755,0.697,0.7697,0.638,0.075,0.2935,0.288
Node2Vec,4,50,10,1,1,5,2 min 42 sec,0.705,0.8676,0.6801,0.7627,0.6144,0.0742,0.2777,0.2715
Node2Vec,4,50,10,2,0.5,5,2 min 42 sec,0.6707,0.8376,0.6515,0.7364,0.5844,0.0627,0.2666,0.2605
Node2Vec,4,50,20,0.5,2,5,5 min 22 sec,0.774,0.9535,0.7759,0.8383,0.7237,0.097,0.3223,0.3175
Node2Vec,4,50,20,1,1,5,5 min 22 sec,0.7273,0.879,0.701,0.7728,0.6421,0.0653,0.2911,0.2854
Node2Vec,4,50,20,2,0.5,5,5 min 20 sec,0.6971,0.8953,0.6997,0.7872,0.63,0.0589,0.2702,0.2642
Node2Vec,4,100,5,0.5,2,5,2 min 46 sec,0.7277,0.8864,0.71,0.7793,0.6538,0.0874,0.3032,0.2978
Node2Vec,4,100,5,1,1,5,2 min 44 sec,0.7401,0.8867,0.7077,0.7796,0.649,0.0886,0.2956,0.2904
Node2Vec,4,100,5,2,0.5,5,2 min 44 sec,0.726,0.8694,0.696,0.7644,0.6403,0.0838,0.3044,0.2991
Node2Vec,4,100,10,0.5,2,5,5 min 25 sec,0.7599,0.9429,0.7555,0.829,0.6955,0.0817,0.2988,0.2934
Node2Vec,4,100,10,1,1,5,5 min 24 sec,0.7587,0.9171,0.7349,0.8063,0.6766,0.0764,0.2992,0.2937
Node2Vec,4,100,10,2,0.5,5,5 min 38 sec,0.7616,0.9219,0.7432,0.8106,0.688,0.0794,0.3035,0.2982
Node2Vec,4,100,20,0.5,2,5,10 min 52 sec,0.7533,0.9511,0.7571,0.8362,0.6921,0.0748,0.2896,0.2836
Node2Vec,4,100,20,1,1,5,10 min 42 sec,0.7752,0.9406,0.7578,0.827,0.7009,0.0792,0.3045,0.299
Node2Vec,4,100,20,2,0.5,5,10 min 43 sec,0.731,0.9496,0.7471,0.8349,0.6763,0.0642,0.2783,0.2712
Node2Vec,4,200,5,0.5,2,5,5 min 27 sec,0.7901,0.9475,0.7802,0.8331,0.7352,0.0958,0.3399,0.3358
Node2Vec,4,200,5,1,1,5,5 min 26 sec,0.7322,0.9259,0.7388,0.8141,0.677,0.0778,0.291,0.2858
Node2Vec,4,200,5,2,0.5,5,5 min 27 sec,0.7409,0.9328,0.7411,0.8202,0.6772,0.0731,0.2868,0.281
Node2Vec,4,200,10,0.5,2,5,10 min 48 sec,0.7504,0.9315,0.7459,0.8189,0.6861,0.0775,0.2997,0.2942
Node2Vec,4,200,10,1,1,5,11 min 14 sec,0.7533,0.9553,0.7617,0.8399,0.6974,0.0774,0.2912,0.2859
Node2Vec,4,200,10,2,0.5,5,11 min 24 sec,0.7682,0.9448,0.7586,0.8306,0.699,0.0759,0.305,0.2985
Node2Vec,4,200,20,0.5,2,5,22 min 34 sec,0.8165,0.949,0.7838,0.8344,0.7402,0.0992,0.3462,0.3409
Node2Vec,4,200,20,1,1,5,21 min 59 sec,0.7533,0.9557,0.7564,0.8402,0.6879,0.0691,0.284,0.2771
Node2Vec,4,200,20,2,0.5,5,22 min 3 sec,0.7653,0.9645,0.7664,0.848,0.6995,0.0724,0.2925,0.285
