Algorithm,Dimensions,resolution,# of clusters,Duration,Accuracy,F1-micro,F1-macro,MutualInformation,NormalizedMutualInformation,Modularity,Performance,Coverage
Louvain,-,0.943,3,5 sec,0.9595,0.9595,0.7526,0.9774,0.9075,0.1513,0.4281,0.4245
Louvain,-,0.944,3,4 sec,0.9599,0.9599,0.7531,0.9798,0.9094,0.1514,0.4277,0.4241
Louvain,-,0.945,3,5 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.946,3,6 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.947,3,6 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.948,3,7 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.949,3,7 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.95,3,5 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.951,3,5 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.952,3,5 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.953,3,5 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.954,3,5 sec,0.9628,0.9628,0.7571,0.9969,0.9229,0.1517,0.4249,0.4213
Louvain,-,0.955,4,7 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.956,4,8 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.957,4,7 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.958,4,6 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
Louvain,-,0.959,4,5 sec,0.9669,0.9669,0.7799,1.005,0.9271,0.1517,0.4242,0.4206
