Algorithm,Dimensions,Walk length,Number of walks per node,p,q,Number of clusters,Duration,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,16,50,5,0.5,2,5,1 min 33 sec,0.5488,0.7473,0.5639,0.657,0.4938,0.0727,0.245,0.238
Node2Vec,16,50,5,1,1,5,1 min 31 sec,0.5661,0.7643,0.5777,0.672,0.5067,0.0743,0.2463,0.2395
Node2Vec,16,50,5,2,0.5,5,1 min 31 sec,0.5566,0.7445,0.5629,0.6546,0.4937,0.0706,0.2456,0.239
Node2Vec,16,50,10,0.5,2,5,2 min 55 sec,0.7624,0.9434,0.7495,0.8294,0.6836,0.0713,0.2857,0.28
Node2Vec,16,50,10,1,1,5,2 min 55 sec,0.7537,0.9281,0.735,0.816,0.6686,0.0671,0.2816,0.2761
Node2Vec,16,50,10,2,0.5,5,2 min 55 sec,0.7694,0.9268,0.7371,0.8148,0.6729,0.0688,0.2873,0.2817
Node2Vec,16,50,20,0.5,2,5,5 min 42 sec,0.7492,0.9378,0.7432,0.8245,0.6765,0.0681,0.2813,0.2759
Node2Vec,16,50,20,1,1,5,5 min 44 sec,0.7426,0.9239,0.7331,0.8123,0.6679,0.0647,0.282,0.2764
Node2Vec,16,50,20,2,0.5,5,5 min 44 sec,0.7463,0.9274,0.7348,0.8154,0.6688,0.0643,0.281,0.2753
Node2Vec,16,100,5,0.5,2,5,2 min 57 sec,0.7624,0.9319,0.7403,0.8194,0.6752,0.0706,0.2847,0.2796
Node2Vec,16,100,5,1,1,5,2 min 58 sec,0.7574,0.922,0.7317,0.8106,0.6669,0.0663,0.2846,0.2788
Node2Vec,16,100,5,2,0.5,5,2 min 58 sec,0.7579,0.9335,0.7408,0.8207,0.6751,0.0678,0.2836,0.2782
Node2Vec,16,100,10,0.5,2,5,5 min 50 sec,0.743,0.9237,0.7326,0.8121,0.6674,0.0656,0.282,0.2763
Node2Vec,16,100,10,1,1,5,5 min 51 sec,0.7492,0.9219,0.7324,0.8106,0.668,0.066,0.2833,0.2778
Node2Vec,16,100,10,2,0.5,5,5 min 50 sec,0.7512,0.9224,0.733,0.811,0.6688,0.0653,0.2838,0.2781
Node2Vec,16,100,20,0.5,2,5,11 min 34 sec,0.7483,0.9211,0.7318,0.8098,0.6676,0.0645,0.284,0.2784
Node2Vec,16,100,20,1,1,5,11 min 34 sec,0.7459,0.9408,0.7435,0.8271,0.6753,0.0648,0.2811,0.2744
Node2Vec,16,100,20,2,0.5,5,11 min 32 sec,0.7599,0.9449,0.7488,0.8307,0.6815,0.0634,0.2857,0.2785
Node2Vec,16,200,5,0.5,2,5,5 min 53 sec,0.7347,0.9247,0.732,0.813,0.6657,0.0661,0.2795,0.2739
Node2Vec,16,200,5,1,1,5,5 min 52 sec,0.7388,0.898,0.7124,0.7895,0.649,0.0631,0.2817,0.2764
Node2Vec,16,200,5,2,0.5,5,5 min 52 sec,0.75,0.9453,0.7481,0.8311,0.6801,0.0672,0.2798,0.2742
Node2Vec,16,200,10,0.5,2,5,11 min 37 sec,0.7459,0.9242,0.7339,0.8125,0.6692,0.0654,0.2833,0.2778
Node2Vec,16,200,10,1,1,5,11 min 38 sec,0.7397,0.9333,0.7399,0.8205,0.6737,0.0646,0.2823,0.2763
Node2Vec,16,200,10,2,0.5,5,11 min 42 sec,0.7421,0.9446,0.7478,0.8305,0.68,0.0649,0.2836,0.2764
Node2Vec,16,200,20,0.5,2,5,23 min 14 sec,0.7393,0.9503,0.7518,0.8355,0.6833,0.0661,0.2806,0.2743
Node2Vec,16,200,20,1,1,5,23 min 17 sec,0.7426,0.9467,0.7498,0.8323,0.6821,0.0655,0.284,0.2768
Node2Vec,16,200,20,2,0.5,5,23 min 51 sec,0.7442,0.9531,0.7527,0.838,0.6832,0.0647,0.2819,0.2744
