Algorithm,Dimensions,Duration,Number of Clusters,Hyperparameters,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,4,47.2 sec,4,walk_len=20 walk_num=5 p=0.5 q=2,0.41,0.18,0.15,0.16,0.13,0.03,0.26,0.25
Node2Vec,4,48.5 sec,4,walk_len=20 walk_num=5 p=1 q=1,0.43,0.22,0.17,0.19,0.16,0.03,0.26,0.25
Node2Vec,4,47.2 sec,4,walk_len=20 walk_num=5 p=2 q=0.5,0.39,0.15,0.12,0.13,0.11,0.02,0.26,0.25
Node2Vec,4,365.0 sec,4,walk_len=20 walk_num=40 p=0.5 q=2,0.95,0.94,0.87,0.83,0.92,0.15,0.43,0.43
Node2Vec,4,361.4 sec,4,walk_len=20 walk_num=40 p=1 q=1,0.89,0.89,0.82,0.78,0.86,0.13,0.41,0.41
Node2Vec,4,356.9 sec,4,walk_len=20 walk_num=40 p=2 q=0.5,0.89,0.91,0.82,0.8,0.85,0.12,0.39,0.39
Node2Vec,4,724.5 sec,4,walk_len=20 walk_num=80 p=0.5 q=2,0.96,0.97,0.89,0.85,0.95,0.15,0.43,0.43
Node2Vec,4,752.2 sec,4,walk_len=20 walk_num=80 p=1 q=1,0.88,0.91,0.81,0.8,0.83,0.12,0.39,0.39
Node2Vec,4,752.4 sec,4,walk_len=20 walk_num=80 p=2 q=0.5,0.88,0.93,0.83,0.82,0.84,0.12,0.38,0.37
Node2Vec,4,247.0 sec,4,walk_len=100 walk_num=5 p=0.5 q=2,0.88,0.9,0.8,0.79,0.83,0.13,0.39,0.38
Node2Vec,4,248.4 sec,4,walk_len=100 walk_num=5 p=1 q=1,0.82,0.84,0.73,0.74,0.73,0.11,0.36,0.36
Node2Vec,4,248.0 sec,4,walk_len=100 walk_num=5 p=2 q=0.5,0.83,0.85,0.75,0.75,0.76,0.11,0.37,0.36
Node2Vec,4,1945.9 sec,4,walk_len=100 walk_num=40 p=0.5 q=2,0.96,0.96,0.89,0.84,0.94,0.15,0.43,0.43
Node2Vec,4,1921.4 sec,4,walk_len=100 walk_num=40 p=1 q=1,0.93,0.95,0.87,0.83,0.91,0.14,0.42,0.42
Node2Vec,4,1925.3 sec,4,walk_len=100 walk_num=40 p=2 q=0.5,0.93,0.95,0.87,0.84,0.91,0.14,0.42,0.41
Node2Vec,4,3843.0 sec,4,walk_len=100 walk_num=80 p=0.5 q=2,0.96,0.96,0.89,0.84,0.94,0.15,0.44,0.43
Node2Vec,4,3840.2 sec,4,walk_len=100 walk_num=80 p=1 q=1,0.9,0.94,0.85,0.83,0.89,0.13,0.41,0.4
Node2Vec,4,3837.1 sec,4,walk_len=100 walk_num=80 p=2 q=0.5,0.89,0.95,0.85,0.83,0.87,0.12,0.39,0.38
Node2Vec,4,0497.4 sec,4,walk_len=200 walk_num=5 p=0.5 q=2,0.9,0.94,0.85,0.83,0.88,0.14,0.4,0.39
Node2Vec,4,0484.0 sec,4,walk_len=200 walk_num=5 p=1 q=1,0.88,0.91,0.81,0.8,0.83,0.12,0.39,0.38
Node2Vec,4,0482.0 sec,4,walk_len=200 walk_num=5 p=2 q=0.5,0.9,0.92,0.84,0.81,0.88,0.13,0.41,0.4
Node2Vec,4,3838.0 sec,4,walk_len=200 walk_num=40 p=0.5 q=2,0.96,0.98,0.9,0.86,0.96,0.15,0.44,0.43
Node2Vec,4,4447.6 sec,4,walk_len=200 walk_num=40 p=1 q=1,0.95,0.95,0.88,0.83,0.94,0.15,0.44,0.44
Node2Vec,4,4415.2 sec,4,walk_len=200 walk_num=40 p=2 q=0.5,0.91,0.95,0.86,0.84,0.89,0.13,0.41,0.4
